nome,local,nivel,tamanho_total,tamanho_proprio,qtd_arquivos_total,qtd_arquivos_direta
material-orientacao-professor,sistema/PROFESSOR/material-orientacao-professor,3,910724,910724,2,2
documentos-para-impressao,sistema/FICHA-PRODUTO-MAIS-TECH/EXPLORACAO_CARREIRAS_INDUSTRIAIS_TECNOLOGICAS/substituicoes/documentos-para-impressao,5,778265,778265,8,8
AULA-13-24-08-2026-FERRAMENTAS_MICROSOFT,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULA-13-24-08-2026-FERRAMENTAS_MICROSOFT,3,772847,772847,6,6
REFORCO_LINGUAGENS,sistema/FICHA-PRODUTO-MAIS-TECH/REFORCO_LINGUAGENS,3,706483,698956,14,13
NOCOES_ELETRICIDADE_CIRCUITOS_BASICOS,sistema/FICHA-PRODUTO-MAIS-TECH/NOCOES_ELETRICIDADE_CIRCUITOS_BASICOS,3,687376,687376,4,4
graphify-out,sistema/BANCO_DE_DADOS/graphify-out,3,647666,453432,16,4
EQUIPE_04,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_04,5,600809,600809,3,3
E-MAIL-SENAI,E-MAIL-SENAI,1,592183,62067,33,10
OFICINAS_IMPRESSAO_3D_ROBOTICA,sistema/FICHA-PRODUTO-MAIS-TECH/OFICINAS_IMPRESSAO_3D_ROBOTICA,3,526044,526044,3,3
Provas,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/Introdução a TIC-VICTOR-ANATO/Provas,4,452346,452346,3,3
cache,sistema/graphify-out/cache,3,427602,13761,61,1
LISTAS,E-MAIL-SENAI/LISTAS,2,422535,422535,6,6
converted,sistema/graphify-out/converted,3,416126,416126,37,37
ast,sistema/graphify-out/cache/ast,4,413841,0,60,0
v0.8.36,sistema/graphify-out/cache/ast/v0.8.36,5,413841,413841,60,60
ANALISES,ANALISES,1,395893,41814,7,3
AULA-07-11-08-2026,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-07-11-08-2026,4,377645,377645,9,9
AULA-06-10-08-2026,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-06-10-08-2026,4,364802,364802,2,2
relatorios,ANALISES/relatorios,2,354079,354079,4,4
PENDENCIAS-PROFESSOR,sistema/PENDENCIAS-PROFESSOR,2,343917,92081,24,7
AULA-05-07-08-2026,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-05-07-08-2026,4,313761,313761,2,2
EQUIPE_01,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_01,5,289540,289540,3,3
AULAS,sistema/FICHA-PRODUTO-MAIS-TECH/INTRODUCAO_COMUNICACAO_ORAL_ESCRITA/AULAS,4,277758,277758,2,2
COMPETENCIAS_SOCIOEMOCIONAIS_E_EMPREENDEDORISMO,sistema/FICHA-PRODUTO-MAIS-TECH/COMPETENCIAS_SOCIOEMOCIONAIS_E_EMPREENDEDORISMO,3,235721,235721,3,3
Tecnico em Desenvolvimento de Sistemas,sistema/Tecnico em Desenvolvimento de Sistemas,2,235057,0,33,0
LOGICA-PROGRAMACAO,sistema/Tecnico em Desenvolvimento de Sistemas/LOGICA-PROGRAMACAO,3,235057,235057,33,33
INTRODUCAO-TIC,sistema/INTRODUCAO-TIC,2,203748,25674,17,2
graphify-out,sistema/PENDENCIAS-PROFESSOR/graphify-out,3,192301,160083,9,4
SCRIPTS_GOOGLE_FORMS,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/SCRIPTS_GOOGLE_FORMS,4,173734,173734,12,12
cache,sistema/BANCO_DE_DADOS/graphify-out/cache,4,168931,3274,11,1
ast,sistema/BANCO_DE_DADOS/graphify-out/cache/ast,5,165657,0,10,0
v0.8.36,sistema/BANCO_DE_DADOS/graphify-out/cache/ast/v0.8.36,6,165657,165657,10,10
PROVA_OBJETIVA,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/PROVA_OBJETIVA,4,156692,156692,10,10
scripts,sistema/FICHA-PRODUTO-MAIS-TECH/EXPLORACAO_CARREIRAS_INDUSTRIAIS_TECNOLOGICAS/MATERIAIS/scripts,5,143219,143219,4,4
VERSAO-CLAUDE,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CLAUDE,5,142269,3079,22,1
AULAS,sistema/INTRODUCAO-TIC/AULAS,3,139498,139498,11,11
scripts,scripts,1,137849,137849,8,8
